robot 0 path size is 191
37	38	186
36	36	199
45	45	189
44	44	186
41	41	192
46	46	190
50	50	195
45	45	191
33	31	193
49	49	198
47	47	194
8	8	192
11	12	194
32	33	188
35	35	184
44	44	199
52	52	192
7	8	197
37	37	199
25	25	199
36	36	198
69	48	200
84	28	200
28	28	190
45	45	192
42	42	180
48	50	194
32	33	194
29	29	200
47	47	200
50	50	180
56	56	188
39	39	191
75	44	198
47	52	188
55	56	181
39	42	192
30	33	189
45	45	191
11	14	184
43	46	183
111	11	198
67	67	190
82	82	196
44	44	196
57	58	188
57	57	199
24	24	195
34	34	189
42	42	190
45	45	184
37	40	193
48	48	191
26	26	192
66	55	188
52	56	200
91	6	181

robot 7 path size is 163
69	19	199
105	20	194
80	14	192
30	30	185
105	57	187
47	50	190
54	54	181
78	47	199
89	53	194
41	44	199
35	38	187
32	35	182
80	43	197
19	19	189
27	27	189
61	61	190
33	33	196
51	41	190
97	17	198
43	43	198
38	41	183
44	50	187
24	26	182
31	34	195
56	40	185
39	39	184
74	38	181
59	59	186
34	37	181
37	43	188
38	44	198
33	33	194
44	47	199
47	47	200
48	49	191
46	49	192
30	34	197
35	39	183
41	41	188
39	42	188
55	58	195
82	9	195
36	36	200
86	16	189
25	25	200
23	26	189
29	32	193
30	33	197
35	38	194
33	36	183
44	47	194
47	50	196
30	33	189
30	33	181
3	6	193
52	55	188
96	23	199
54	54	188
74	38	199
59	58	188
4	4	181
38	38	193
49	29	188
100	52	192
62	20	184
39	39	194
92	34	195
33	33	189
47	44	196
56	23	200
48	48	196
48	30	198
48	46	192
59	59	196
60	60	181
24	24	195
46	32	197
65	51	187
86	35	196
34	34	194
40	40	188
53	53	200
49	31	200
43	41	180
28	28	188
45	39	184
60	18	188
83	22	188
23	23	184
63	15	180
81	17	180
69	11	200
74	42	199
13	13	191
52	52	189
63	63	194
37	37	191
51	51	189
8	8	194
97	35	195
19	19	181
56	56	186
47	33	189
40	40	180
52	52	188
73	65	194
84	35	189
30	29	187
110	36	195
61	61	184
72	52	190
28	28	189
49	52	195
62	29	188
37	37	186
64	51	188
23	23	197
45	45	195
44	42	182
6	3	191
45	33	186
47	46	189
9	9	195
17	17	183
71	53	191
67	51	199
92	32	197
84	73	195
58	58	198
73	52	199
34	37	197
21	24	190
51	54	190
79	12	194
56	22	180
137	26	197
62	59	199
29	29	199
37	37	182
30	31	180
21	21	186
52	25	192
48	48	192
65	13	181
52	52	183
14	14	182
80	48	181
37	37	186
46	46	196
34	34	185
55	55	186
64	62	181
43	41	191
60	60	188
66	32	181
57	60	181
103	15	183
21	21	183
35	38	195
12	15	194
20	22	186
138	24	181
59	50	190

robot 8 path size is 160
30	21	189
113	48	190
82	37	192
33	30	190
13	13	190
97	27	197
76	31	193
24	24	200
34	34	183
103	23	200
72	23	195
15	15	182
28	28	185
28	30	183
45	45	190
26	26	185
44	33	199
75	42	193
31	31	191
27	27	198
58	58	192
15	15	196
70	8	200
3	2	197
64	60	190
43	49	183
25	28	198
29	32	181
63	44	188
44	44	186
49	29	181
97	65	188
14	14	197
25	25	200
32	32	197
39	39	195
72	72	196
19	19	182
51	51	197
88	16	195
32	32	198
77	50	183
28	28	188
52	41	185
27	28	191
47	30	180
36	34	184
75	43	197
20	20	197
56	22	183
31	28	183
69	55	193
41	41	200
45	48	198
51	54	198
14	15	200
52	55	197
56	59	197
67	53	185
106	18	186
49	55	198
14	14	181
31	34	184
48	51	193
62	57	186
142	36	194
40	43	189
27	30	183
35	35	197
37	40	188
38	41	190
41	46	194
27	27	193
56	59	196
32	34	194
51	54	197
57	60	199
32	35	197
79	32	194
55	55	198
32	32	189
26	26	194
39	38	192
27	28	187
28	28	186
57	41	184
38	36	180
61	43	184
80	44	198
51	57	180
38	40	188
44	47	181
17	20	191
48	54	198
35	40	191
21	22	193
58	61	193
71	50	198
41	41	184
63	31	186
24	24	189
78	20	183
38	43	184
61	61	198
71	74	194
45	48	194
55	58	189
46	52	185
40	42	192
87	30	185
68	68	190
63	63	194
46	46	197
52	52	193
62	62	185
48	30	185
49	48	180
134	54	181
34	37	183
33	36	187
49	49	181
32	35	186
40	46	200
61	61	198
43	46	189
58	61	190
68	65	183
74	4	188
18	19	196
72	43	187
80	44	200
37	38	185
72	49	192
30	30	184
27	27	183
113	75	188
61	64	192
44	47	180
78	40	200
46	46	200
49	49	184
36	36	200
52	52	182
71	53	195
40	43	192
96	20	182
61	17	191
68	56	200
19	19	196
78	43	188
47	31	200
101	21	188
70	55	200
93	65	185
12	15	196
42	45	185
45	48	182
50	53	199
44	47	188
48	8	191

robot 9 path size is 196
97	85	153
61	62	195
87	52	181
38	39	190
22	25	187
39	42	197
76	36	188
18	18	195
22	22	180
59	60	198
51	51	200
31	30	188
17	17	188
77	40	190
12	13	191
66	67	190
10	13	186
30	34	198
41	42	200
27	30	182
45	50	188
22	22	198
29	32	193
16	19	189
15	21	200
30	33	197
21	22	187
33	36	195
36	39	199
80	32	199
37	37	189
32	34	200
44	46	190
49	48	187
51	51	183
52	52	185
61	56	199
27	27	200
33	36	182
69	69	192
15	18	188
24	27	181
28	28	187
41	44	199
37	40	198
67	71	190
24	27	182
36	39	195
48	51	197
47	51	181
63	64	196
15	18	195
32	38	195
74	37	198
11	11	188
10	8	187
33	33	191
45	46	186
58	55	195
46	46	191
54	54	184
56	56	195
17	17	194
20	20	194
25	25	184
28	28	188
39	40	197
24	24	198
28	28	200
27	27	186
27	29	188
33	33	182
39	39	195
26	26	193
43	43	181
48	47	197
6	6	198
35	36	197
25	25	195
44	44	181
50	51	189
55	55	185
47	47	199
28	28	188
66	51	199
4	7	197
12	15	180
17	17	184
30	33	200
19	22	193
42	45	191
17	20	180
43	46	184
56	59	190
42	45	197
7	7	194
28	31	188
67	46	187
47	47	183
31	32	186
54	54	196
10	10	192
57	57	192
36	35	200
28	28	185
17	17	180
20	20	194
22	22	186
26	26	180
36	36	199
36	36	188
37	37	193
29	30	200
41	41	182
31	30	198
41	41	198
26	26	196
37	37	185
50	48	187
47	47	182
80	37	199
16	20	199
26	31	185
54	54	200
37	40	187
64	50	200
11	11	184
26	26	192
31	30	186
29	29	188
32	32	181
18	19	200
34	34	182
38	38	195
51	51	184
21	21	193
35	35	193
86	31	196
10	11	188
9	12	181
13	13	196
29	32	195
31	36	193
37	38	197
39	42	193
29	35	180
51	54	196
48	51	181
85	29	196
36	36	184
50	50	193
75	42	181
15	18	180
28	31	183
29	31	180
13	16	182
14	17	184
35	38	191
42	46	196
22	24	184
53	56	186
39	45	182
47	51	193
44	45	184
49	52	199
34	37	188
63	48	199
52	52	186
26	27	200
81	36	196
40	44	186
63	49	199
28	28	181
43	43	186
56	56	194
39	41	197
56	56	189
58	58	191
68	69	185
29	29	184
16	17	199
40	40	198
56	56	187
30	30	183
76	41	188
15	19	180
28	28	186
36	39	183
35	40	188
38	43	195
11	14	197
44	47	189
46	47	184
50	53	194
44	49	189
82	30	191

